song_no,title,artist,lyrics,score
37344905,미안해 미워해 사랑해,Crush,"It's the same day
이렇게 너를
다시 불러보는 
잊고 있던 마음들과
이제야 내미는
나의 미련한 진심들
늦어서 미안해
I wish I could  have told you that
I was born to love you
To love you with all my heart
널 향한 심장이 멈춰지지가 않아
Still want you all the time
아직 내 마음속 한켠의 방에
그리움으로 가득 채워
너를 기다려
Need you all the time
아무 말도 전하지 못해
시간속을 헤메이는
나를 미워해
It’s the same night
흐릿한 어느 밤 안개 속에 너를
불러보곤 해 난 또
시간 저편에 빛나던
기억을 떠올려
두 손 꼭 잡았던
I wish I could have told you that
I was made to love you
To love you with all my heart
망설이다 혼자 삼켰던 말 사랑해
Still want you all the time
아직 내 마음속 한켠의 방에
그리움으로 가득 채워
너를 기다려
Need you all the time
미친 듯이 네게 달려가
두 팔 가득 너를 품고
And I want you to know you’re the only reason 
that I still breathe that I still live
And to tell you
사랑했던 나의 진심이
사랑받던 모든 기억이 
내 모든 이유 
유일한 이유
Hmmm","[0.08719600466234669, 0.326387213924438, 0.033982892192410526, 0.050475669418159494, 0.05025794356069728, 0.45170027624194803]"
33496587,다정히 내 이름을 부르면,경서예지,"끝없이 별빛이 내리던 밤
기분 좋은 바람이
두 뺨을 스치고 
새벽 바다 한곳을 보는
아름다운 너와 나
그림을 그려갔어
모래 위 떨린 손끝으로
날 향해 웃어주는 입술
끝 모양과 저 달보다
사랑스러운 두 눈을 가진 네가
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
남은 내 모든 날을 너에게
다 줘도 안 아까워
이제서야 내가
사랑에 눈을 뜬 건 가봐
경험하지 못했고
믿기지 않는 일만
일어나고 있는 거 아니
5월에 피는 봄꽃 처럼
내 사랑도 피어나
부는 바람에 살며시 실어 보내
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
설레는 지금이
꿈이 아닌 걸 알잖아
난 더 바랄 게 없어
먼 훗날 내 생애
아주 작은 소리로
귓가에 말할 거야
내 곁에 머물러줘서
마음 다해 고맙다고
어떤 말로도 표현 못 할
내 인생의 전부였다고
이 순간 너를 꼭 안고
고백할게 언제나
우리 모든 날들과
별빛 아래 우리 그림자
제일로 특별하다고
길고 긴 겨울 끝을 지나
너의 앞에 서있는 지금
선명한 목소리로
널 사랑한다고
말할게","[0.010406804492926308, 0.13957383066475232, 0.018394353807692183, 0.038558121398787795, 0.016695811778635057, 0.7763710778572064]"
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해","[0.0029000131150759578, 0.1478733496895317, 0.005371017999910463, 0.007728223321521761, 0.0036081803570917107, 0.8325192155168684]"
34451383,인사,범진,"돌아서는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
지나치는 모진 기억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
떠나가는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
돌이킬 순 없는 추억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
잘 지내 인사를 보낼 게","[0.0380223301987591, 0.8115891443550619, 0.030604783218701546, 0.0621995993872159, 0.052331334758901046, 0.0052528080813604985]"
34431086,취중고백,김민석,"뭐하고 있었니 늦었지만
잠시 나올래
너의 집 골목에 있는
놀이터에 앉아 있어
친구들 만나서 오랜만에
술을 좀 했는데
자꾸만 니 얼굴 떠올라
무작정 달려왔어
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
눈물이 날만큼 원하고 있어
정말로 몰랐니
가끔 전화해 장난치듯
주말엔 뭐할거냐며
너의 관심 끌던 나를
그리고 한번씩 누나 주려 샀는데
너 그냥 준다고
생색 낸 선물도 너 때문에 산거야
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
진심이야 믿어줘
갑자기 이런 말 놀랐다면 미안해
부담이 되는게 당연해
이해해 널
하지만 내 고백도 이해해 주겠니 oh
지금 당장 대답하진마
나와 일주일만 사귀어줄래
후회없이 잘 해주고 싶은데
그 후에도 니가 싫다면
나 그때 포기할게
귀찮게 안할게 혼자 아플게
진심이야 너를 사랑하고 있어","[0.16607932525552424, 0.24875983860250975, 0.08517035831430055, 0.17377422733984368, 0.2821488148061015, 0.044067435681720286]"
34657844,사랑인가 봐,멜로망스,"너와 함께 하고 싶은 일들을
상상하는 게
요즘 내 일상이 되고
너의 즐거워하는 모습을 보고 있으면
자연스레 따라 웃고 있는 걸
너의 행동에 설레어하고 뒤척이다가
지새운 밤이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
점점 너와 하고 싶은 일들 생각하면서
하룰 보낸 날이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
너의 행복해하는 모습을 보고 있으면
나도 모르게 따라 웃는데
이 정도면 알아줄 만하잖아
너도 용기 낼만 하잖아
나만 이런 게 아니라면
우리 만나볼 만하잖아
아무래도 사랑인가 봐","[0.047384828513338285, 0.12757287643974785, 0.06877423000949356, 0.18493933909373084, 0.289444860786555, 0.28188386515713443]"
37375706,청혼하지 않을 이유를 못 찾았어,이무진,"너에게 안 믿길 만큼 받은 게 참 많아요
우선은 너 하나, 그리고 우리란 말
사실 더할 나위 없이 그거면 됐지요
우리만의 기억 과분한 선물이지요
너로 인해 난 놀랍게도 변한 게 참 많아요
맘속엔 너와 날 가득히 채운 바다
잡은 두 손 사이로 붉은 실이 보이죠
어쩌면 정해져 있었던 걸지도
근데 있잖아 자연스런 고백이 난 제일 어려워
내 맘을 멋있게 전하고 싶어 고민했어
수많은 바람 끝에 너에게 할 말을 정했어
가장 솔직하고 감동적인 말
너에게 청혼하지 않을 이유를 못 찾았어
내 일상, 내 모든 하루는 너라서
그댄 오늘도 정말 예쁘네요
빛나줘 곁에서 부디 영원토록
수백 번 연습하며 오늘을 기다려왔어
어쩌면 어설픈 말들일지라도
그댈 내일 더 사랑할 거란 것
그게 내가 청혼할 이유
그 이유의 이유
마침내 전한 내 고백 조금은 수줍어도
굳게 잡은 두 손 놓지 않기로 약속
마지막까지도 꼭 함께하기로
그 마지막의 마지막의 마지막까지도
너에게 청혼하지 않을 이유를 못 찾았어
내 일상, 내 모든 하루는 너라서
그댄 오늘도 정말 예쁘네요
빛나줘 곁에서 부디 영원토록
수백 번 연습하며 오늘을 기다려왔어
어쩌면 어설픈 말들일지라도
그댈 내일 더 사랑할 거란 것
그게 내가 청혼할 이유
그 이유의 이유
많은 사람들 중에
그 많은 순간들 중에
만난 우리
우연과 얽힌 운명들 중에
가장 찬란한 순애
그 서막 끝의 무대
너에게 청혼하지 않을 이유를 못 찾은 것
기억 속 찬란함이 온통 너란 것
그댄 오늘도 정말 예쁘단 것
전부야 너무나 당연한 이유가
난 이제 준비해 둔 모든 말을 꺼내 뒀어
항상 내 맘 한켠 담아뒀던 프러포즈
그댄 내일도 아름다울 거란 것
그게 내가 청혼한 이유
그저 너란 이유","[0.03056289990952706, 0.12098878338187821, 0.01836100420692465, 0.055821620826771716, 0.08575794920860788, 0.6885077424662905]"
36616378,사막에서 꽃을 피우듯,우디 (Woody),"아침에 눈 뜨는 게 너무 행복해졌어 
널 사랑한다 말할 수 있어서 하늘에 감사해 
⠀
네 번의 계절을 너와 함께할게
평생토록 더 오래도록 더 영원토록
⠀
음악처럼 꿈처럼 
매일 새롭게 사랑을 주고 싶어 
지금처럼 곁에 있어 주기를 언제나
⠀
사막에서 꽃을 피우듯 널 만난 건 기적인 걸
설렘이 사라지더라도 이 사랑을 지켜줄게
⠀
허물없이 지내다가도
힘든 날엔 말없이 기댈 수 있게
언제나 네 곁에 내가 서 있을게 
⠀
한 걸음 한 걸음 
어둡지 않게 내가 널 비춰줄게
지금처럼 곁에 있어 주면 돼 언제나
⠀
사막에서 꽃을 피우듯 널 만난 건 기적인 걸
설렘이 사라지더라도 이 사랑을 지켜줄게
⠀
허물없이 지내다가도
힘든 날엔 말없이 기댈 수 있게
언제나 네 곁에 내가 서 있을게 
⠀
너와 함께하는 이 시간이
조금만 더 천천히 흘러가길
⠀
어떤 날엔 웃게 해 줄게
좋은 날엔 더 안아줄게
슬픈 날엔 그냥 울어도 돼
내가 더 노력할게 
⠀
허물없이 지내다가도 
힘든 날엔 말없이 기댈 수 있게
언제나 네 곁에 내가 서 있을게
⠀
언제나 네 곁에 있을게","[0.00818000074485852, 0.35113207235905824, 0.012462250595410266, 0.02639905388045683, 0.011515879657096247, 0.5903107427631199]"
37635628,오래된 노래,허각,"오래전에 함께 듣던 노래가
발걸음을 다시 멈춰 서게 해
이 거리에서 너를 느낄 수 있어
널 이곳에서 꼭 다시 만날 것 같아
너일까 봐 한 번 더 바라보고
너일까 봐 자꾸 돌아보게 돼
어디선가 같은 노래를 듣고
날 생각하며 너 역시 멈춰있을까
오래전에 함께 듣던 노래가
거리에서 내게 우연히 들려온 것처럼
살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로
내 사랑이 그대로인 것처럼
발걸음이 여길 찾는 것처럼
꼭 만날 거야 지금 이 노래처럼
날 사랑하는 네 맘도 같을 테니까
오래전에 함께 듣던 노래가
거리에서 내게 우연히 들려온 것처럼
살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로
운명처럼 아니면 우연처럼
우리가 다시 예전처럼 만날 수 있다면
너에게 나 해주고 싶은 말이 하나 있어
널 다시는 놓치지 않을게
오래전에 함께 듣던 노래가
거리에서 내게 우연히 들려온 것처럼
살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로
살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로","[0.024137995003751748, 0.18132461289560153, 0.0418394419889492, 0.04458049432006354, 0.08109847657701844, 0.6270189792146156]"
37820769,플러팅,황인욱,"멀리서 너를 처음 봤던 날
친구들과 앉아서 웃고 있던
네게 반했던 그날
잠시도 눈을 뗄 수 없었어
너에게 걸어가 볼까 말까
잠깐 말 걸어볼까
이대로 두 번 다시
너를 못 보게 될까 두려워
후회하게 될 것만 같아
물어 번호 봤던 거야
믿지 않겠지만 처음이었어
너를 본 순간부터
우리가 손잡고 걷는 모습이 떠올랐어
술에 취해서 조명이 어두워서
이런 말 하는 거 아냐
우리 내일 다시 만나자
그때 다시 한번 말할게
우리 내일 만나면
널 바로 안아버릴지 몰라
처음부터 반한 것 같아
물어 번호 봤던 거야
믿지 않겠지만 처음이었어
너를 본 순간부터
우리가 손잡고 걷는 모습이 떠올랐어
술에 취해서 조명이 어두워서
이런 말 하는 거 아냐
우리 내일 다시 만나자
그때 다시 한번 말할게
원래 이러냐고
모든 사람에게 잘해주냐고
아니 사실 아무렇지 않지 않단 말이야
모르겠어 내가 왜 이러는지
없던 용기가 왜 나는지
스친 눈빛에 스친 손끝에
자꾸 뛴단 말이야 심장아 나대지 마
혹시 번호 물어봐도 되겠니
믿지 않겠지만 모든 게 처음이야
너를 본 순간부터
우리가 사랑할 날들이 자꾸 떠올랐어
술에 취해서 조명이 어두워서
이런 말 하는 거 아냐
우리 내일 다시 만나자
그때 다시 한번","[0.13585254680778658, 0.11767790581120793, 0.14793068821134595, 0.17009995899887123, 0.22715068777465067, 0.20128821239613762]"
